frac_age,delta_nu_fit,nu_max,nu_0_1,nu_0_2,nu_0_3,nu_0_4,nu_0_5,nu_0_6,nu_0_7,nu_0_8,nu_0_9,nu_0_10,nu_0_11,nu_0_12,nu_0_13,nu_0_14,nu_0_15,nu_0_16,nu_0_17,nu_0_18,nu_0_19,nu_0_20,nu_0_21,nu_0_22,nu_0_23,nu_0_24,nu_0_25,nu_0_26,nu_0_27,nu_0_28,nu_0_29,nu_0_30,nu_0_31,nu_0_32,nu_0_33,nu_0_34,nu_0_35,nu_0_36,nu_0_37,nu_0_38,nu_0_39,nu_0_40,surface_he4
1.608656652424975e-05,11.884045115344591,150.6804522984329,0.0,34.481793634273814,49.3297120940426,63.19507667471854,75.9133673124883,87.63075838285025,99.48310181925063,110.9543822272173,122.4553334888602,134.2423661205623,145.9919331516841,157.8849440715709,169.9277153711282,182.0142850676895,194.15348994858329,206.3225415823901,218.48448170257168,230.543011300549,242.0564029082755,253.28587520381816,263.6069734650853,273.5516767792876,284.2828153298432,295.8169842546089,307.7483104357513,319.8493401554672,332.0158687705212,344.1859717057823,356.30903547162836,368.3470585163704,380.2785273422564,392.06462749908167,403.710369742638,415.297909281186,426.9242176330298,438.65566725386435,450.5501782122419,462.5467810246176,474.65889892355233,486.8258473706213,0.2399663471946464
1.670813398142859e-05,12.140476239838822,154.89320042553715,0.0,35.203006961782215,50.376319641905745,64.54847134100869,77.58338905412751,89.569246083215,101.67966717346529,113.42438530118281,125.1557906588198,137.19259035647258,149.1953957373365,161.33017700882,173.624127192612,185.96692756352107,198.3624874962431,210.79189029332332,223.2183289652046,235.56062242804646,247.3620924187817,258.9288493143272,269.606616790062,279.7457549092972,290.5768401287074,302.27563199494864,314.4229558336031,326.765639181043,339.18592279590735,351.622123110822,364.01692152788627,376.33086319777084,388.54624279667985,400.620086337047,412.5383045081549,424.3869566508636,436.25235053085686,448.212638082572,460.3266909141056,472.5586346526762,484.91972013077583,497.32573443390123,0.2399667938034572
1.7205387947171656e-05,12.343045053032752,158.2383563494011,0.0,35.77204932727046,51.202158797557885,65.61619936667017,78.90074431465797,91.1001593975533,103.41332336684499,115.3747623578422,127.2890082429853,139.5218899122506,151.72535361511999,164.05109261170819,176.5431455470332,189.0881998306894,201.6855981766378,214.3202246089447,226.9544537391141,239.5170988695306,251.5454427849486,263.3743542381943,274.337606057517,284.64927522586487,295.5593232733365,307.3802455831568,319.6933978535428,332.2247879601765,344.8440247336724,357.48937586834916,370.09778726349924,382.6292637937159,395.06896326240303,407.3687109084835,419.505073705942,431.5639209158941,443.61905616047636,455.7629842141064,468.04894948161416,480.4696257190447,493.0185508739033,505.6163403427896,0.23996806272999005
1.760319111976611e-05,12.503403056729246,160.8984846412051,0.0,36.222265956729935,51.8555816691258,66.46089325001279,79.94276525467392,92.31222846768443,104.7853707998148,116.9187449491125,128.9784329392988,141.3657597403406,153.7284271921161,166.20538534730332,178.8539363729134,191.55906340083408,204.31574348697708,217.1127402526223,229.91095019331848,242.64621764235665,254.8537925907713,266.8877197674933,278.0780831978313,288.5385749520114,299.5125876994175,311.4255332290159,323.86736240618166,336.5471388903339,349.323182268706,362.1338374611744,374.9107934784479,387.6143970456097,400.23165869977316,412.7084257875087,425.0192623220789,437.2457021210704,449.45222579168666,461.7422756513175,474.16422430390884,486.7347154797785,499.42729025008623,512.1793641959804,0.2399688504750953
1.7928559339456423e-05,12.633487279051526,163.06161161728124,0.0,36.587368017066346,52.385498739641974,67.14586691943208,80.7876347722223,93.29571774107731,105.8983565999597,118.17141197234659,130.34964498999523,142.86177490007807,155.35383902810958,167.95357462097,180.72883386638716,193.56384228924918,206.4495497427849,219.3782867538125,232.30934208582352,245.1837485068188,257.5364413441339,269.7350134149247,281.109477609118,291.6984482713519,302.7263348633176,314.71123078689016,327.2559318615334,340.0552173666575,352.9579819723893,365.9022898164701,378.8153487126017,391.65831866171686,404.4188917004868,417.0377590014959,429.4912534896209,441.8540642293633,454.1848746654755,466.5940219403553,479.12738370275457,491.8194286801643,504.6269458111585,517.5057727558287,0.23996929979171736
1.822601934877216e-05,12.751540914120744,165.0311829681069,0.0,36.9185209026037,52.86617281666872,67.76714917414019,81.55385760148435,94.18823719732912,106.9081708545656,119.3081069372485,131.5943505770793,144.2193406921661,156.8290060816511,169.5402315353179,182.4302566129355,195.3831270823047,208.3858455462833,221.4340521551761,234.48552405775916,247.4856010585526,259.9697357169384,272.31661803956587,283.8579587620572,294.5692920666413,305.64757968905536,317.6952721011428,330.33178291356336,343.2384553148512,356.2557644960671,369.3208672046087,382.35700880604287,395.3264881390786,408.2164975807773,420.9637707733772,433.5480477458271,446.0351816468473,458.4803267603546,470.99784018892683,483.63341739136047,496.4349066267996,509.346007946031,522.3401527055557,0.2399697950028833
1.851305809388956e-05,12.86461486348517,166.92275690597143,0.0,37.23561728348336,53.32649082519072,68.3620877170671,82.28752420163957,95.043335878285,107.8754412055883,120.3970295624328,132.7871218315657,145.51987102289132,158.2423626195921,171.0604427059915,184.06020028708468,197.1259437306886,210.24070249926484,223.403182467785,236.5698683716062,249.6898252211443,262.4108169591925,274.7874482690275,286.4880778443614,297.32145113118037,308.4497407881752,320.55548055420934,333.2785865561978,346.2871876061061,359.4140738557598,372.5945423929842,385.7484134599006,398.8393270523528,411.85269690335036,424.7228349044175,437.4335504422053,450.0401887181742,462.596198918728,475.2174987722133,487.9519150647502,500.8566451349788,513.8666011580223,526.9709552413728,0.239969782727842
1.879739351106612e-05,12.97576648874096,168.78652132080714,0.0,37.54735387587522,53.77908934597493,68.94701461124201,83.00879721610973,95.88446002711152,108.8267224630196,121.46807480125591,133.9606441695446,146.7990204173953,159.6325957221563,172.555773637836,185.66324727475032,198.8399727231817,212.06492318478718,225.33957821445733,238.61945799410734,251.8568720944819,264.7715594664841,277.215321231548,289.07181145636014,300.0295250120672,311.2090716478916,323.3701802305477,336.1773044879567,349.2854178827078,362.5201652471341,375.81377505002,389.0833186428248,402.29386521630545,415.427781518432,428.41872523460404,441.25454132010213,453.9787590017315,466.6447716558537,479.3679235257886,492.20049880877787,505.20500883442617,518.3124180826699,531.5250221039129,0.2399699209384605
1.9082650911434085e-05,13.086446169258751,170.64955705196942,0.0,37.85772434380926,54.229773074306,69.529429040981,83.7269366755984,96.72237885480413,109.7742156646723,122.5349850224461,135.1299746334121,148.0732516704733,161.0176036734905,174.045455350846,187.26001243833932,200.54723228833,213.88196712460567,227.2681586114738,240.6607558518363,254.01489328197255,267.0920448666957,279.6321375419081,291.6432897971291,302.7291080429723,313.9619556429775,326.1764098824557,339.06594570171484,352.2724383169456,365.6147333643057,379.0206315952626,392.4052558811917,405.7350340558977,418.98815141731933,432.0995067650096,445.0604737240023,457.90180468081223,470.6782146840426,483.502620630789,496.4339222007223,509.53612838926387,522.7413486172884,536.0618554509974,0.23996985907810875
1.9370616066573125e-05,13.197351583399513,172.5218306488269,0.0,38.1686649357644,54.68136143913836,70.11298850813031,84.44646850335191,97.56236360980999,110.7238918341038,123.6044575995073,136.3024339511993,149.35055432016648,162.40606087382682,175.5388359376939,188.8605651723132,202.2585026633298,215.7033287044466,229.2011344426756,242.70671504246812,256.1776403641254,269.4046094899635,282.05318890346,294.21852881344336,305.4366370134556,316.7256377269501,328.99202643074767,341.96291619963347,355.2673654974209,368.7175267323407,382.2353463022776,395.7350365945433,409.1841153975866,422.55576626652214,435.7879518838943,448.8746524234327,461.83340129330634,474.7212723190979,487.6473042726437,500.6786899664967,513.8775697446073,527.181968491077,540.6108783268227,0.2399699510440405
